query;ground_truth_answer;ground_truth_doc_id;
What is Kangaroo Mother Care (KMC) and when should it be initiated?;Kangaroo Mother Care (KMC) is recommended as routine care for all preterm or low-birth-weight infants. It involves early, continuous skin-to-skin contact and exclusive breastfeeding. KMC should be started as soon as possible after birth, whether in a health-care facility or at home, and provided for 8–24 hours per day.;low-birth-weight-infant_HNN;
Is mother’s own milk recommended for preterm infants?;Yes, mother’s own milk is strongly recommended for feeding preterm or low-birth-weight infants, including very preterm or very low-birth-weight babies, due to its benefits for health and development.;low-birth-weight-infant_HNN;
What if mother’s milk for preterm infants is not available? What should be used?;hen mother’s own milk is unavailable, donor human milk may be considered for feeding preterm or low-birth-weight infants, especially those who are very preterm or very low-birth-weight.;low-birth-weight-infant_HNN;
Should multicomponent fortification of breast milk be used  for  preterm infants?;Multicomponent fortification of human milk is not routinely recommended for all preterm infants, but it may be considered for very preterm or very low-birth-weight infants.;low-birth-weight-infant_HNN;
 What is the recommendation for starting feeding in preterm infants?;Feeding should begin as early as possible from the first day after birth. If the infant cannot breastfeed, expressed mother’s milk or donor milk should be given as soon as it is available.;low-birth-weight-infant_HNN;
Can preterm infants be given preterm formula?;If mother’s own milk and donor human milk are not available, nutrient-enriched preterm formula may be considered for very preterm or very low-birth-weight infants.;low-birth-weight-infant_HNN;
Should exclusive breastfeeding be continued for preterm infants?;Yes, exclusive breastfeeding is recommended for preterm or low-birth-weight infants until six months of age.;low-birth-weight-infant_HNN;
Is iron supplementation necessary for preterm infants?;Enteral iron supplementation is recommended for human milk-fed preterm or low-birth-weight infants who are not receiving iron from other sources.;low-birth-weight-infant_HNN;
Is vitamin D supplementation  necessary for preterm infants?;Enteral vitamin D supplementation may be considered for human milk-fed preterm or low-birth-weight infants not receiving it from another source.;low-birth-weight-infant_HNN;
Can zinc be supplemented to preterm infants?;Zinc supplementation may be considered for preterm or low-birth-weight infants if not provided from other sources.;low-birth-weight-infant_HNN;
Are probiotics recommended for preterm infants?;Probiotics may be considered for human milk-fed very preterm infants, as part of preventive care.;low-birth-weight-infant_HNN;
Is emollient therapy beneficial for preterm babies?;Yes, the application of topical oil (emollients) may be considered for preterm or low-birth-weight infants.;low-birth-weight-infant_HNN;
How should feeding volume be increased for preterm babies?; For infants requiring alternative feeding methods, such as gastric tube or cup feeding, feed volumes can be increased by up to 30 ml/kg per day.;low-birth-weight-infant_HNN;
What is hypoxaemia and why is it dangerous in children?;Hypoxaemia is a condition where there is a low level of oxygen in the blood. It is life-threatening because it can lead to organ dysfunction and death, especially in children with pneumonia, neonatal conditions, or during surgical emergencies.;Oxygen_Therapy_child_HNN;
What is the normal SpO_ level in children?;At sea level, normal SpO_ levels range from 97% to 99%. A threshold of <90% is commonly used to initiate oxygen therapy, as lower levels may rapidly progress to critical oxygen deficiency.;Oxygen_Therapy_child_HNN;
How can health workers detect hypoxaemia?;Pulse oximetry is the recommended method for detecting hypoxaemia. If not available, clinical signs such as central cyanosis, nasal flaring, grunting, and inability to feed may be used as indicators.;Oxygen_Therapy_child_HNN;
What are some clinical signs of hypoxaemia in neonates?;Signs include central cyanosis, apnoea, bradycardia, and poor feeding. However, these are not always specific, so pulse oximetry is strongly recommended.;Oxygen_Therapy_child_HNN;
What equipment is most suitable to detect hypoxaemia in hospitals?;Pulse oximeters are the most suitable non-invasive tool for detecting and monitoring hypoxaemia, particularly in children with respiratory conditions.;Oxygen_Therapy_child_HNN;
When should oxygen therapy be started in children?;Oxygen should be given when SpO_ falls below 90%, or when clinical signs like central cyanosis, severe respiratory distress, or grunting are observed.;Oxygen_Therapy_child_HNN;
What are the main sources of oxygen in healthcare settings?;The main sources are oxygen concentrators, cylinders, and central pipeline systems. Concentrators are especially suitable for low-resource settings due to their reliability and cost-effectiveness.;Oxygen_Therapy_child_HNN;
What is the preferred method to deliver oxygen in infants?;Nasal prongs are the preferred method due to their safety, efficiency, and low risk of complications. Standard flow rates vary by age and weight.;Oxygen_Therapy_child_HNN;
Are face masks and head boxes recommended for children?;No, face masks, head boxes, and tents are not recommended due to high oxygen consumption and risks such as carbon dioxide toxicity.;Oxygen_Therapy_child_HNN;
What is the role of humidification in oxygen therapy?;Humidification is required only when oxygen is delivered via methods that bypass the nose, like nasopharyngeal catheters or with high-flow systems.;Oxygen_Therapy_child_HNN;
What complications can arise from improper oxygen delivery?;Complications include nasal bleeding, airway obstruction, gastric distension, and in severe cases, pneumothorax if high flow rates are used inappropriately.;Oxygen_Therapy_child_HNN;
Why is oxygen therapy often unavailable in developing countries?;Challenges include unreliable supply chains, lack of trained staff, poorly maintained equipment, and inadequate hospital infrastructure.;Oxygen_Therapy_child_HNN;
Should oxygen therapy be used for all children with respiratory distress?;Not always. While oxygen is vital for hypoxaemic children, unnecessary use should be avoided. Pulse oximetry should guide decisions when possible.;Oxygen_Therapy_child_HNN;
How should oxygen be administered in severely ill neonates?;Nasal prongs or catheters at low flow rates are preferred. Oxygen saturation should be maintained at or above 88%, but not exceeding 95% in preterm infants to avoid complications.;Oxygen_Therapy_child_HNN;
What training is required to implement oxygen therapy safely?;Health workers should be trained to recognize signs of hypoxaemia, use and maintain pulse oximeters and concentrators, and correctly deliver oxygen using appropriate devices.;Oxygen_Therapy_child_HNN;
What are birth defects and why are they a global concern?;Birth defects are structural or functional abnormalities that occur during intrauterine life. They are a significant global concern because they cause long-term disability, infant mortality, and have a profound impact on individuals, families, and healthcare systems;Prevent_birth_defects_HNN;
How many children worldwide are affected by birth defects each year?;It is estimated that more than 8 million children are born annually with a serious birth defect of genetic or partially genetic origin, most of whom are in low- and middle-income countries.;Prevent_birth_defects_HNN;
Can birth defects be prevented?;Yes, many birth defects can be prevented through cost-effective interventions such as vaccination, adequate nutrition, fortification of foods with folic acid and iodine, and appropriate prenatal care.;Prevent_birth_defects_HNN;
What are the key strategies for preventing birth defects?;Key strategies include ensuring maternal health, preventing infections during pregnancy, improving nutrition, fortifying food with essential vitamins and minerals, and expanding access to quality health services before and during pregnancy.;Prevent_birth_defects_HNN;
How does congenital syphilis affect newborns?;Congenital syphilis can lead to miscarriage, stillbirth, prematurity, low birth weight, and neonatal death. Surviving infants may suffer from bone deformities, neurological impairment, or developmental delay.;Prevent_birth_defects_HNN;
What interventions help eliminate congenital syphilis?;Early prenatal screening, diagnosis, and timely treatment of syphilis in pregnant women and their partners are essential to eliminating congenital syphilis.;Prevent_birth_defects_HNN;
How can rubella infection during pregnancy affect the baby?;Rubella infection in early pregnancy can cause congenital rubella syndrome, leading to deafness, blindness, heart defects, and developmental delays in infants.;Prevent_birth_defects_HNN;
What is recommended to prevent congenital rubella syndrome?;Vaccination with the rubella-containing vaccine before pregnancy is the most effective method for preventing congenital rubella syndrome.;Prevent_birth_defects_HNN;
How does food fortification help prevent birth defects?;Fortifying foods with micronutrients such as folic acid and iodine significantly reduces the risk of neural tube defects and cognitive impairments caused by iodine deficiency.;Prevent_birth_defects_HNN;
Which nutrients are especially important during pregnancy to prevent defects?;Folic acid and iodine are particularly important. Folic acid helps prevent neural tube defects, while iodine supports brain development and prevents intellectual disabilities.;Prevent_birth_defects_HNN;
What role does antenatal care play in preventing birth defects?;Antenatal care allows for early screening and management of maternal conditions and infections, nutritional counseling, and preventive measures like vaccinations and supplementation, all of which help prevent birth defects.;Prevent_birth_defects_HNN;
Are genetic factors a major cause of birth defects?;Yes, many birth defects have genetic or partially genetic origins. While some are inherited, others result from mutations or environmental exposures during pregnancy.;Prevent_birth_defects_HNN;
Why are birth defects more common in low-income countries?; In low- and middle-income countries, limited access to prenatal care, poor maternal nutrition, inadequate vaccination coverage, and lack of awareness contribute to a higher prevalence of birth defects.;Prevent_birth_defects_HNN;
Can fortifying flour with folic acid reduce neural tube defects?;Yes, fortifying flour with folic acid is a proven public health intervention that significantly lowers the incidence of neural tube defects, such as spina bifida.;Prevent_birth_defects_HNN;
What is the global strategy to address birth defects?;The global strategy focuses on integrating prevention into maternal and child health programs, strengthening health systems, improving surveillance, promoting food fortification, and ensuring vaccination and prenatal screening services.;Prevent_birth_defects_HNN;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
