query,generated_answer,ground_truth_answer,ground_truth_doc_id,retrieved_doc_ids,Recall@3,MRR,BERTScore_P,BERTScore_R,BERTScore_F1
What is Kangaroo Mother Care (KMC) and when should it be initiated?,"Kangaroo mother care (KMC) is a form of newborn care where a mother kangaroos her baby in a kangaroo position, supporting the baby’s head and neck while they sleep. It’s a method of skin-to-skin contact and provides a secure and warm environment for the baby. It’s typically initiated when the baby is weighing between 2000 grams and less, and is recommended for newborns who are clinically stable.

It’s important to note that KMC can begin after birth, after initial assessment and where needed basic resuscitation, provided the baby and mother are stable.","Kangaroo Mother Care (KMC) is recommended as routine care for all preterm or low-birth-weight infants. It involves early, continuous skin-to-skin contact and exclusive breastfeeding. KMC should be started as soon as possible after birth, whether in a health-care facility or at home, and provided for 8-24 hours per day.",low-birth-weight-infant_HNN,"['practice_pocket_guide_HNN', 'improve_preterm_birth_HNN', 'improve_preterm_birth_HNN']",0,0.0,0.8677151799201965,0.884466290473938,0.8760105967521667
Is mother's own milk recommended for preterm infants?,"Yes, mother’s own milk is recommended for preterm infants, including very preterm infants (< 32 weeks’ gestation) or very low-birth-weight (LBW) infants.","Yes, mother's own milk is strongly recommended for feeding preterm or low-birth-weight infants, including very preterm or very low-birth-weight babies, due to its benefits for health and development.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.9208352565765381,0.9346624612808228,0.9276973605155945
What if mother's milk for preterm infants is not available? What should be used?,"If mother’s milk is not available, donor human milk can be used. It’s recommended to use the highest quality donor milk possible, as it provides the most nutrients and antibodies.  The GDG recommends using donor milk as the primary source of nutrition for preterm and low-birth-weight infants, particularly when mother’s milk is not available.","hen mother's own milk is unavailable, donor human milk may be considered for feeding preterm or low-birth-weight infants, especially those who are very preterm or very low-birth-weight.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'Milk-Feeding_HNN']",1,1.0,0.8963432312011719,0.9260224103927612,0.9109411239624023
Should multicomponent fortification of breast milk be used  for  preterm infants?,"Yes, multicomponent fortification of breast milk should be used for preterm infants. The evidence suggests that it can be beneficial, particularly for weight gain and length. However, the certainty of these benefits is moderate, and the lack of data on the specific types of fortifiers used in trials limits our understanding.","Multicomponent fortification of human milk is not routinely recommended for all preterm infants, but it may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8789433240890503,0.8978757262229919,0.8883087038993835
 What is the recommendation for starting feeding in preterm infants?,"In the domain recommendation status strength/type, the recommendation for starting feeding in preterm infants is “Strong recommendation, moderate-certainty evidence.”

It is recommended to start feeding preterm infants as early as possible, ideally within the first hour of birth, with the goal of establishing a feeding pattern.","Feeding should begin as early as possible from the first day after birth. If the infant cannot breastfeed, expressed mother's milk or donor milk should be given as soon as it is available.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8396713733673096,0.8630285263061523,0.8511897325515747
Can preterm infants be given preterm formula?,"Yes, preterm infants can be given preterm formula. The evidence review suggests that nutrient-enriched preterm formula may be considered for very preterm (< 32 weeks’ gestation) or very low-birth-weight infants. However, it’s conditional on shared decision-making with parents, including informing them about the benefits and risks and the need for further research.","If mother's own milk and donor human milk are not available, nutrient-enriched preterm formula may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8779478669166565,0.9082292914390564,0.8928318619728088
Should exclusive breastfeeding be continued for preterm infants?,"Yes, exclusive breastfeeding should be continued for preterm infants, provided that the infant is medically deemed to be doing well and has no complications. The guidelines state that at least 80% of breastfeeding mothers of term infants report that someone on the staff offered assistance with breastfeeding within 6 hours after birth.

Here’s a breakdown of why this is important, according to the text:

*   **Evidence-based recommendation:** The text explicitly states that at least 80% of mothers report assistance with breastfeeding within 6 hours.
*   **Medical justification:** The support provided is contingent on the infant’s health and well-being.
*   **Focus on infant’s needs:** The guidance emphasizes that the infant's needs and comfort should be prioritized.

Do you have any further questions about this?","Yes, exclusive breastfeeding is recommended for preterm or low-birth-weight infants until six months of age.",low-birth-weight-infant_HNN,"['breastfeeding_HNN', 'breast_feeding_HNN', 'breast_feeding_HNN']",0,0.0,0.8110771179199219,0.9054070711135864,0.8556501269340515
Is iron supplementation necessary for preterm infants?,"Yes, iron supplementation is generally recommended for preterm infants, particularly those fed mother’s milk or donor human milk, to prevent iron deficiency anemia. The systematic review indicates that it is beneficial for growth and development.",Enteral iron supplementation is recommended for human milk-fed preterm or low-birth-weight infants who are not receiving iron from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8882746696472168,0.8867338299751282,0.8875036239624023
Is vitamin D supplementation  necessary for preterm infants?,"Yes, vitamin D supplementation is generally considered necessary for preterm infants. The evidence suggests it’s beneficial for several reasons, including:

*   **Improved bone mineralization:** Vitamin D plays a crucial role in calcium absorption and bone mineralization, which is particularly important in preterm infants who are at higher risk of rickets.
*   **Reduced risk of seizures and irritability:** Low vitamin D levels have been linked to increased seizure frequency and irritability in preterm infants.
*   **Potential benefits for other conditions:** Vitamin D supplementation has been associated with improved growth and neurodevelopmental outcomes in preterm infants.

The WHO recommends vitamin D supplementation for preterm infants with birth weights below 1.5 kg, and supplementation is typically initiated between birth and 7 days of age.

Do you want me to elaborate on any of these points, or would you like me to provide more specific information about the dosage or guidelines?",Enteral vitamin D supplementation may be considered for human milk-fed preterm or low-birth-weight infants not receiving it from another source.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8148211240768433,0.8684554696083069,0.8407838344573975
Can zinc be supplemented to preterm infants?,"Yes, zinc supplementation can be considered for preterm infants, although the evidence is still evolving and the optimal approach is not fully established.

Here’s a breakdown of what the evidence suggests:

*   **Small to Moderate Benefit:** Several studies have shown a small to moderate benefit of zinc supplementation in preterm infants, particularly in reducing mortality and diarrhea.
*   **Reduced Mortality:** A systematic review of 14 RCTs published in the *Pediatrics* journal found that zinc supplementation significantly reduced mortality in preterm infants (RR 0.73, 95% CI 0.46 to 1.16).
*   **Reduced Diarrhea:** Similarly, studies indicated a reduction in diarrhea (events) with zinc supplementation, although the effect was less pronounced than the mortality benefit.
*   **Decreased Respiratory Infections:** Some trials reported a decrease in respiratory infections, though the evidence was less consistent.
*   **Limited Evidence on Growth:** The evidence on the impact on growth is less conclusive, with some studies showing a modest effect, but overall, the evidence is mixed.
*   **Low-Certainty Evidence:** Several studies yielded low-certainty evidence regarding other outcomes, such as sepsis, mental development, and bone health.

**Important Considerations:**

*   **Conditional Recommendation:** The GDG (Global Data Group) recommends that zinc supplementation should be considered with caution and should be approached with parental involvement, emphasizing shared decision-making.
*   **Ongoing Research:** More research is needed to determine the optimal dose, timing, and duration of zinc supplementation for preterm infants.
*   **Other Markers:**  Further research is needed to assess the impact of zinc supplementation on other markers of bone health, such as osteopenia or rickets.

Do you have any further questions about this information?",Zinc supplementation may be considered for preterm or low-birth-weight infants if not provided from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.7699097990989685,0.8659560680389404,0.8151133060455322
