query,generated_answer,ground_truth_answer,ground_truth_doc_id,retrieved_doc_ids,Recall@3,MRR,BERTScore_P,BERTScore_R,BERTScore_F1
What is Kangaroo Mother Care (KMC) and when should it be initiated?,"According to the provided context, Kangaroo Mother Care (KMC) is a method of skin-to-skin contact between a mother and her baby, where the baby is held against the mother's chest, typically wrapped in a blanket or cloth. This practice is also known as ""continuous kangaroo care"" or ""kangaroo holding"".

As stated in the context, KMC should be initiated when the baby is:

* Able to breathe on its own (no apnoeic episodes);
* Free of life-threatening conditions.

It can also be initiated immediately after birth, after initial assessment and basic resuscitation, provided the baby and mother are clinically stable. For babies weighing 2000g or less at birth, KMC is strongly recommended (based on moderate-quality evidence).

Additionally, KMC can be initiated before birth, in cases where the baby is clinically stable, and the mother is able to hold the baby against her chest.","Kangaroo Mother Care (KMC) is recommended as routine care for all preterm or low-birth-weight infants. It involves early, continuous skin-to-skin contact and exclusive breastfeeding. KMC should be started as soon as possible after birth, whether in a health-care facility or at home, and provided for 8-24 hours per day.",low-birth-weight-infant_HNN,"['practice_pocket_guide_HNN', 'improve_preterm_birth_HNN', 'improve_preterm_birth_HNN']",0,0.0,0.8369312882423401,0.8733415603637695,0.8547489047050476
Is mother's own milk recommended for preterm infants?,"According to the context, yes, mother's own milk is recommended for feeding preterm or low-birth-weight (LBW) infants, including very preterm infants (less than 32 weeks' gestation) or very LBW infants (less than 1.5 kg). This is stated in recommendation A.2, which states ""Mother's own milk is recommended for feeding of preterm or low-birth-weight (LBW) infants, including very preterm (< 32 weeks’ gestation) or very LBW (< 1.5 kg) infants."" (Strong recommendation, low-certainty evidence).","Yes, mother's own milk is strongly recommended for feeding preterm or low-birth-weight infants, including very preterm or very low-birth-weight babies, due to its benefits for health and development.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8596159815788269,0.9230809807777405,0.8902187943458557
What if mother's milk for preterm infants is not available? What should be used?,"According to the context, if mother's milk is not available, donor human milk can be used for preterm infants, including very preterm (< 32 weeks' gestation) or very low-birth-weight (< 1.5 kg) infants. However, the World Health Organization (WHO) recommends that multicomponent fortification of human milk should not be routinely recommended for all preterm or low-birth-weight infants, but may be considered for very preterm infants when mother's own milk or donor human milk is not available.

Additionally, when mother's own milk and donor human milk are not available, nutrient-enriched preterm formula may be considered for very preterm or very low-birth-weight infants. It is also emphasized that if mother's own milk is ever possible, it should be used instead of any other type of milk.

It is worth noting that the WHO does not recommend using artificial formula milk as the primary source of nutrition for preterm infants, as it may not provide the same level of nutritional benefits as human milk.","hen mother's own milk is unavailable, donor human milk may be considered for feeding preterm or low-birth-weight infants, especially those who are very preterm or very low-birth-weight.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'Milk-Feeding_HNN']",1,1.0,0.8644639253616333,0.925904393196106,0.8941299319267273
Should multicomponent fortification of breast milk be used  for  preterm infants?,"According to the provided context, the World Health Organization (WHO) recommends that multicomponent fortification of breast milk is not routinely recommended for all preterm or low-birth-weight (LBW) infants, but may be considered for very preterm infants (< 32 weeks' gestation) or very LBW infants who are fed mother's own milk or donor human milk.

This recommendation is conditional on shared decision-making with parents, and the WHO notes that the benefits of multicomponent fortification include increasing weight, length, and head circumference in very preterm or very LBW infants. However, the potential harms, such as mortality and necrotizing enterocolitis, are uncertain.

Therefore, the WHO suggests that multicomponent fortification should be initiated and continued based on clinical judgment, and that mothers and families should be informed about the benefits and risks and the need for further research. 

Source: WHO recommendations for care of the preterm or low-birth-weight infant (Table 1. WHO recommendations for the care of the preterm (< 37 weeks’ gestation) or low-birth-weight (< 2.5 kg) infant, section A.4)","Multicomponent fortification of human milk is not routinely recommended for all preterm infants, but it may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8341325521469116,0.9208415746688843,0.8753450512886047
 What is the recommendation for starting feeding in preterm infants?,"According to the context, the strong recommendation is that preterm and low-birth-weight (LBW) infants, including very preterm (< 32 weeks' gestation) and very LBW (< 1.5 kg) infants, should be fed as early as possible from the first day after birth. Infants who are able to breastfeed should be put to the breast as soon as possible after birth. Infants who are unable to breastfeed should be given expressed mother's own milk as soon as it becomes available. If mother's own milk is not available, donor human milk should be given wherever possible. (Source: A.6 EARLY INITIATION OF ENTERAL FEEDING)","Feeding should begin as early as possible from the first day after birth. If the infant cannot breastfeed, expressed mother's milk or donor milk should be given as soon as it is available.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8518998026847839,0.9293778538703918,0.8889538049697876
Can preterm infants be given preterm formula?,"According to the provided context, yes, preterm infants can be given preterm formula when mother's own milk and donor human milk are not available. However, the recommendation is conditional, meaning it depends on shared decision-making with parents, and they should be informed about the benefits and risks, as well as the need for further research.

This is stated in Recommendation A.5, which says: ""When mother’s own milk and donor human milk are not available, nutrient-enriched preterm formula may be considered for very preterm (< 32 weeks’ gestation) or very low-birth-weight infants."" 

It's also mentioned that the World Health Organization (WHO) suggests considering commercially available nutrient-enriched formulas specifically formulated for preterm infants for infants born at 32–36 weeks' gestation or with birth weight of 1.5–2.4 kg, depending on clinical judgment.","If mother's own milk and donor human milk are not available, nutrient-enriched preterm formula may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8513790369033813,0.9394746422767639,0.8932600021362305
Should exclusive breastfeeding be continued for preterm infants?,"According to the provided context, it appears that the guidelines recommend continuing exclusive breastfeeding for preterm infants. In fact, the systematic review on the use of cup feeding instead of bottle feeding among preterm infants identified that feeding preterm infants using alternative feeding devices (such as cups, spoons, droppers, or finger feeding) rather than bottles and teats probably improves exclusive breastfeeding at discharge, at 3 months, and at 6 months.

However, the exact duration of exclusive breastfeeding for preterm infants is not explicitly stated in the provided context. Nevertheless, the guidelines emphasize the importance of ongoing support and encouragement to help mothers establish and maintain breastfeeding, regardless of the infant's gestational age.

It's worth noting that the guidelines also mention that mothers of preterm infants have health problems of their own and need motivation and extra support for milk expression. Therefore, it's likely that the recommendation for continued exclusive breastfeeding for preterm infants is intended to take into account the unique challenges they face. 

Would you like more information about the specific duration of exclusive breastfeeding for preterm infants?","Yes, exclusive breastfeeding is recommended for preterm or low-birth-weight infants until six months of age.",low-birth-weight-infant_HNN,"['breastfeeding_HNN', 'breast_feeding_HNN', 'breast_feeding_HNN']",0,0.0,0.8268272876739502,0.8846824765205383,0.8547770380973816
Is iron supplementation necessary for preterm infants?,"According to the provided context, enteral iron supplementation is recommended for human milk-fed preterm or low-birth-weight infants who are not receiving iron from another source. This is stated in Recommendation A.10a, which is updated and indicates a strong recommendation for iron supplementation. The World Health Organization (WHO) also recommends iron supplementation for VLBW infants fed mother’s own milk or donor human milk, starting at 2 weeks and continuing until 6 months of age.

The context mentions that the effectiveness evidence was derived from a systematic review of eight trials, reporting on a total of 1093 infants from seven countries, and most trials showed a beneficial effect of iron supplementation on haematological outcomes, such as decreased anaemia, increased weight, and length. However, the evidence on growth and neurodevelopmental outcomes is insufficient.

Therefore, the answer to your question is that iron supplementation is indeed necessary for preterm infants, particularly those who are not receiving iron from another source, and is supported by moderate-certainty evidence.",Enteral iron supplementation is recommended for human milk-fed preterm or low-birth-weight infants who are not receiving iron from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8368327021598816,0.9371917843818665,0.8841735124588013
Is vitamin D supplementation  necessary for preterm infants?,"According to the provided context, the effectiveness evidence was derived from a systematic review of three RCTs totaling 2479 preterm or LBW infants from two countries (India and the USA). The review suggests that vitamin D supplementation may be beneficial for preterm or LBW infants.

However, the review states that the evidence on harms (increased mortality) is uncertain due to low-certainty evidence and imprecision. Additionally, the review notes that the evidence on effects of vitamin D supplementation on various outcomes such as growth, neurodevelopment, and hospitalization is either very low-certainty or low-certainty.

Therefore, the World Health Organization (WHO) recommends vitamin D supplementation for preterm or LBW infants if they are at high risk of deficiency, which includes babies born to darker-skinned mothers, especially those born in higher latitudes and in the winter months. However, the review does not provide sufficient evidence to make a definitive conclusion on the necessity of vitamin D supplementation for all preterm infants.

It seems that the recommendation for vitamin D supplementation is conditional, and it should be made on a case-by-case basis, considering individual factors, such as the risk of deficiency, and with informed shared decision-making with parents.",Enteral vitamin D supplementation may be considered for human milk-fed preterm or low-birth-weight infants not receiving it from another source.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8113726377487183,0.8570759296417236,0.8335983753204346
Can zinc be supplemented to preterm infants?,"According to the context, yes, zinc supplementation can be considered for preterm infants. In fact, the WHO recommends enteral vitamin D supplementation for human milk-fed preterm or low-birth-weight infants, which implies that zinc supplementation might also be beneficial for these infants. However, the evidence on harms (such as increased mortality) is uncertain due to low-certainty evidence and imprecision. Therefore, zinc supplementation should be considered on a case-by-case basis, with informed shared decision-making between parents and healthcare providers.",Zinc supplementation may be considered for preterm or low-birth-weight infants if not provided from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8467342853546143,0.9037021398544312,0.8742912411689758
