query,generated_answer,ground_truth_answer,ground_truth_doc_id,retrieved_doc_ids,Recall@3,MRR,BERTScore_P,BERTScore_R,BERTScore_F1
What is Kangaroo Mother Care (KMC) and when should it be initiated?,"According to the context provided, Kangaroo Mother Care (KMC) is a method of skin-to-skin contact between a mother and her baby, where the baby is held against the mother's chest, often with the baby's bare skin against the mother's bare skin. This practice is also referred to as ""continuous skin-to-skin contact"" in the context.

As per the guidelines, KMC should be initiated when the baby is able to breathe on its own (no apnoeic episodes) and is free of life-threatening conditions. It can begin after birth, after initial assessment and where needed basic resuscitation, provided the baby and mother are stable. For low birth weight babies (less than 2000 grams), KMC is recommended to be started immediately. 

For full-term babies, it is recommended to start KMC when the baby is able to breathe on its own and is free of life-threatening conditions.","Kangaroo Mother Care (KMC) is recommended as routine care for all preterm or low-birth-weight infants. It involves early, continuous skin-to-skin contact and exclusive breastfeeding. KMC should be started as soon as possible after birth, whether in a health-care facility or at home, and provided for 8-24 hours per day.",low-birth-weight-infant_HNN,"['practice_pocket_guide_HNN', 'improve_preterm_birth_HNN', 'improve_preterm_birth_HNN']",0,0.0,0.8507649898529053,0.8809510469436646,0.8655949831008911
Is mother's own milk recommended for preterm infants?,"According to the provided context, yes, mother's own milk is recommended for feeding preterm or low-birth-weight (LBW) infants, including very preterm (< 32 weeks' gestation) or very LBW (< 1.5 kg) infants. This is stated in the recommendation A.2, which is a strong recommendation with low-certainty evidence. The Global Database of Systematic Reviews (GRADEproviding mother's own milk is the standard of care across all countries and the core of many national policies and programs.","Yes, mother's own milk is strongly recommended for feeding preterm or low-birth-weight infants, including very preterm or very low-birth-weight babies, due to its benefits for health and development.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8533936738967896,0.9261001348495483,0.888261616230011
What if mother's milk for preterm infants is not available? What should be used?,"According to the context, if mother's milk is not available for preterm infants, donor human milk is recommended as a substitute (conditional recommendation, moderate-certainty evidence). It should be used when mother's own milk is not available. Additionally, in some cases, nutrient-enriched preterm formula may be considered as a last resort (conditional recommendation, low-certainty evidence). However, it is emphasized that these alternatives should be used only when mother's own milk is not available, and expressed mother's own milk should be supplemented only when unavoidable.

It's worth noting that the World Health Organization (WHO) recommends that mothers should be encouraged and supported to provide their own breast milk for their infants, and that supplementing with donor human milk or formula should only occur when necessary.","hen mother's own milk is unavailable, donor human milk may be considered for feeding preterm or low-birth-weight infants, especially those who are very preterm or very low-birth-weight.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'Milk-Feeding_HNN']",1,1.0,0.8458478450775146,0.8855098485946655,0.8652245402336121
Should multicomponent fortification of breast milk be used  for  preterm infants?,"According to the provided context, multicomponent fortification of breast milk is not routinely recommended for all preterm or low-birth-weight (LBW) infants, but it may be considered for very preterm (< 32 weeks' gestation) or very LBW (< 1.5 kg) infants who are fed mother's own milk or donor human milk.

The World Health Organization (WHO) recommends considering multicomponent fortification ""for very preterm (< 32 weeks' gestation) or very LBW (< 1.5 kg) infants"" as a conditional recommendation, with the caveat that it should be based on clinical judgement and shared decision-making with parents.

Additionally, the guidelines suggest that the type of fortifier used is not well established, and the timing and duration of fortification are not clearly defined. Therefore, further research is needed to inform the use of multicomponent fortification in preterm infants.

(Source: Table 1. WHO recommendations for the care of the preterm or low-birth-weight infant, section A.4)","Multicomponent fortification of human milk is not routinely recommended for all preterm infants, but it may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8421900868415833,0.9272437691688538,0.8826727271080017
 What is the recommendation for starting feeding in preterm infants?,"According to the context, the recommendation for starting feeding in preterm infants is to initiate enteral feeding as soon as possible, which includes direct breastfeeding and feeding by cups, nasogastric tubes, or other methods. It is recommended to give mother's own milk whenever possible, and if not available, donor human milk should be given. For infants who cannot breastfeed, expressed mother's own milk should be used as soon as it becomes available.

Source: [START_OF_CONTEXT] A.6 EARLY INITIATION OF ENTERAL FEEDING

""Preterm and low-birth-weight (LBW) infants, including very preterm (< 32 weeks’ gestation) and very LBW (< 1.5 kg) infants, should be fed as early as possible from the first day after birth. Infants who are able to breastfeed should be put to the breast as soon as possible after birth. Infants who are unable to breastfeed should be given expressed mother’s own milk as soon as it becomes available. If mother’s own milk is not available, infants can be fed formula as this is preferable to delayed initiation of enteral feeding and the use of parenteral nutrition.""","Feeding should begin as early as possible from the first day after birth. If the infant cannot breastfeed, expressed mother's milk or donor milk should be given as soon as it is available.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8306889533996582,0.9214522838592529,0.8737197518348694
Can preterm infants be given preterm formula?,"According to the context provided, yes, preterm infants can be given preterm formula when mother's own milk and donor human milk are not available. In fact, the World Health Organization (WHO) recommends considering nutrient-enriched preterm formula for very preterm (< 32 weeks' gestation) or very low-birth-weight infants (less than 1.5 kg). This is stated in Recommendation A.5, which is updated and conditional on shared decision-making with parents, informing them about the benefits and risks, and the need for further research.

It's also mentioned that commercially available nutrient-enriched formulas specifically formulated for preterm infants may be considered for infants born at 32-36 weeks' gestation or with a birth weight of 1.5-2.4 kg. However, the WHO notes that there is limited information on the timing of initiation and duration of preterm formula use, and therefore, this should be based on clinical judgment. 

Additionally, mothers should be encouraged and supported to provide their own breast milk (including colostrum) for their infants if possible.","If mother's own milk and donor human milk are not available, nutrient-enriched preterm formula may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8449676036834717,0.9460705518722534,0.892665445804596
Should exclusive breastfeeding be continued for preterm infants?,"Based on the provided context, it seems that the guidelines suggest that exclusive breastfeeding is recommended for preterm infants, and that avoiding bottles and teats may improve exclusive breastfeeding outcomes.

According to the systematic review mentioned in the context, feeding preterm infants using alternative feeding devices, such as cups, spoons, droppers, or finger feeding, instead of bottles and teats, probably improves exclusive breastfeeding at discharge, at 3 months, and at 6 months.

However, I couldn't find specific information about continuing exclusive breastfeeding specifically for preterm infants beyond the initial period. The context mentions that the guidelines recommend providing breast milk using bottles and teats if medically indicated, but it doesn't provide clear guidance on whether exclusive breastfeeding should continue for preterm infants beyond a certain period.

It's worth noting that the context suggests that mothers of preterm infants need extra support, especially for positioning and attachment, and that frequent coaching and support can help build maternal confidence. Therefore, it's likely that the guidelines would recommend continued support and encouragement for breastfeeding, regardless of the infant's prematurity.

To confirm the recommendation for preterm infants, I would like to clarify what specific aspect of exclusive breastfeeding you are referring to (e.g., duration, frequency, type of feeding). Can you please provide more context or clarify your question?","Yes, exclusive breastfeeding is recommended for preterm or low-birth-weight infants until six months of age.",low-birth-weight-infant_HNN,"['breastfeeding_HNN', 'breast_feeding_HNN', 'breast_feeding_HNN']",0,0.0,0.8130638003349304,0.8866356611251831,0.8482574820518494
Is iron supplementation necessary for preterm infants?,"According to the context, enteral iron supplementation is recommended for human milk-fed preterm or low-birth-weight infants who are not receiving iron from another source, as stated in Recommendation A.10a. This is supported by moderate-certainty evidence, indicating a strong recommendation. The World Health Organization (WHO) also recommends iron supplementation for VLBW infants fed mother's own milk or donor human milk, starting at 2 weeks and continuing until 6 months of age, with a daily dose of 2–4 mg/kg per day.",Enteral iron supplementation is recommended for human milk-fed preterm or low-birth-weight infants who are not receiving iron from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8581814765930176,0.9556455612182617,0.9042949080467224
Is vitamin D supplementation  necessary for preterm infants?,"According to the provided context, vitamin D supplementation is considered a conditional recommendation for preterm or low-birth-weight (LBW) infants who are fed mother's own milk or donor human milk, and is recommended for those with low vitamin D levels.

The context states that ""the GDG noted that the evidence on harms (increased mortality) was uncertain due to low-certainty evidence and imprecision"" and that the recommendation is conditional on shared decision-making with parents, which includes informing parents about the benefits and risks and the need for further research.

In other words, vitamin D supplementation is not universally recommended for all preterm or LBW infants, but rather for those who are at high risk of vitamin D deficiency. Additionally, the effectiveness of vitamin D supplementation in improving outcomes such as all-cause mortality, morbidity, growth, and neurodevelopment is still uncertain, with varying degrees of certainty across different outcomes.

Therefore, the current recommendation is that vitamin D supplementation should be discussed with parents and considered on a case-by-case basis, taking into account individual circumstances and the potential benefits and risks.",Enteral vitamin D supplementation may be considered for human milk-fed preterm or low-birth-weight infants not receiving it from another source.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8196377158164978,0.8931989669799805,0.8548386693000793
Can zinc be supplemented to preterm infants?,"According to the provided context, yes, zinc supplementation can be considered for preterm or low-birth-weight infants. In fact, the systematic review found a small to moderate benefit of zinc supplementation in reducing all-cause mortality, diarrhoea, and respiratory infections in preterm or low-birth-weight infants (A.10b). Additionally, there is moderate-certainty evidence suggesting an increase in weight, length, and head circumference in zinc-supplemented infants. However, the certainty of the evidence regarding harms, such as decreased mental development scores, is low.",Zinc supplementation may be considered for preterm or low-birth-weight infants if not provided from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8419564366340637,0.9024567604064941,0.8711574673652649
