query,generated_answer,ground_truth_answer,ground_truth_doc_id,retrieved_doc_ids,Recall@3,MRR,BERTScore_P,BERTScore_R,BERTScore_F1
What is Kangaroo Mother Care (KMC) and when should it be initiated?,"Kangaroo Mother Care (KMC) is a practice of skin-to-skin care, which involves keeping the baby's face directly exposed to the mother's skin during the birthing process. This practice aims to promote comfort, support the baby's breathing, and improve breastfeeding. 

It is typically initiated in health-care facilities as soon as the baby is clinically stable. However, it is important to note that the quality of evidence for most of the critical outcomes, including those related to mortality, neonatal infections, and hypothermia, is high.

For instance, the Quality of Evidence (QoE) for mortality and neonatal infections was found to be high. For hyperthermia and re-admission to hospital, the QoE was moderate. Values and preferences for KMC included that it goes beyond just mortality and morbidity, and includes improved breastfeeding practices and bonding between mother and baby.

In conclusion, Kangaroo Mother Care (KMC) is a valuable intervention that promotes comfort and supports the baby's breathing, making it a suitable option for initiating in health-care facilities.","Kangaroo Mother Care (KMC) is recommended as routine care for all preterm or low-birth-weight infants. It involves early, continuous skin-to-skin contact and exclusive breastfeeding. KMC should be started as soon as possible after birth, whether in a health-care facility or at home, and provided for 8-24 hours per day.",low-birth-weight-infant_HNN,"['practice_pocket_guide_HNN', 'improve_preterm_birth_HNN', 'improve_preterm_birth_HNN']",0,0.0,0.843241274356842,0.8773800730705261,0.8599720001220703
Is mother's own milk recommended for preterm infants?,"Yes, according to the guidelines, mother's own milk is recommended for feeding of preterm or low-birth-weight (LBW) infants, including very preterm (< 32 weeks’ gestation) or very LBW (< 1.5 kg) infants.","Yes, mother's own milk is strongly recommended for feeding preterm or low-birth-weight infants, including very preterm or very low-birth-weight babies, due to its benefits for health and development.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8955441117286682,0.9351990818977356,0.9149420857429504
What if mother's milk for preterm infants is not available? What should be used?,"If mother's milk is not available for preterm infants, multicomponent fortification of human milk may be considered. This method does not typically require artificial formulas and can still provide essential nutrients.","hen mother's own milk is unavailable, donor human milk may be considered for feeding preterm or low-birth-weight infants, especially those who are very preterm or very low-birth-weight.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'Milk-Feeding_HNN']",1,1.0,0.892776608467102,0.8925611972808838,0.8926689028739929
Should multicomponent fortification of breast milk be used  for  preterm infants?,"Yes, multicomponent fortification of breast milk should be used for preterm infants. The report states ""When mother's own milk and donor human milk are not available, nutrient-enriched preterm formula may be considered for very preterm (< 32 weeks’ gestation) or very low-birth-weight infants.""","Multicomponent fortification of human milk is not routinely recommended for all preterm infants, but it may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8900684118270874,0.9253430366516113,0.9073629975318909
 What is the recommendation for starting feeding in preterm infants?,The recommendation for starting feeding in preterm infants is to initiate enteral feeding as early as possible from the first day after birth.,"Feeding should begin as early as possible from the first day after birth. If the infant cannot breastfeed, expressed mother's milk or donor milk should be given as soon as it is available.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.9038240909576416,0.885857880115509,0.8947508335113525
Can preterm infants be given preterm formula?,"Yes, preterm infants can receive preterm formula.","If mother's own milk and donor human milk are not available, nutrient-enriched preterm formula may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.9226173162460327,0.856203556060791,0.888170599937439
Should exclusive breastfeeding be continued for preterm infants?,"I'm sorry, I cannot answer this question without knowing more about the specific circumstances and conditions of preterm infants. Could you please provide more details on this topic?","Yes, exclusive breastfeeding is recommended for preterm or low-birth-weight infants until six months of age.",low-birth-weight-infant_HNN,"['breastfeeding_HNN', 'breast_feeding_HNN', 'breast_feeding_HNN']",0,0.0,0.8297011852264404,0.8510439991950989,0.8402370810508728
Is iron supplementation necessary for preterm infants?,"Yes, iron supplementation is necessary for preterm infants. The evidence shows that iron supplementation may improve haematological outcomes in preterm and LBW babies but there is insufficient evidence to assess effects on growth and neurodevelopmental outcomes.",Enteral iron supplementation is recommended for human milk-fed preterm or low-birth-weight infants who are not receiving iron from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8695489764213562,0.8723929524421692,0.8709686398506165
Is vitamin D supplementation  necessary for preterm infants?,"Yes, vitamin D supplementation is essential for preterm infants. It helps in increasing intestinal absorption of calcium and phosphorus, enhancing bone mineralization, and improving bone density. This is particularly important during the critical period when bones are growing rapidly.",Enteral vitamin D supplementation may be considered for human milk-fed preterm or low-birth-weight infants not receiving it from another source.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8604090213775635,0.8689871430397034,0.864676833152771
Can zinc be supplemented to preterm infants?,"Yes, zinc can be supplemented to preterm infants. The context states ""There has been no specific evidence available about whether families value zinc supplements for their preterm or LBW baby or whether they find them acceptable."" So it's not clear if zinc is being recommended or accepted by families in the context.",Zinc supplementation may be considered for preterm or low-birth-weight infants if not provided from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8492155075073242,0.8752613067626953,0.862041711807251
