query,generated_answer,ground_truth_answer,ground_truth_doc_id,retrieved_doc_ids,Recall@3,MRR,BERTScore_P,BERTScore_R,BERTScore_F1
What is Kangaroo Mother Care (KMC) and when should it be initiated?,Kangaroo mother care (KMC) refers to the practice of providing continuous skin-to-skin care during the day without interruption. It is commonly used for newborns weighing less than 2000 grams and those clinically stable. KMC can begin after birth and continues for several hours after discharge to ensure the baby is comfortable and ready for basic resuscitation.,"Kangaroo Mother Care (KMC) is recommended as routine care for all preterm or low-birth-weight infants. It involves early, continuous skin-to-skin contact and exclusive breastfeeding. KMC should be started as soon as possible after birth, whether in a health-care facility or at home, and provided for 8-24 hours per day.",low-birth-weight-infant_HNN,"['practice_pocket_guide_HNN', 'improve_preterm_birth_HNN', 'improve_preterm_birth_HNN']",0,0.0,0.9029061794281006,0.8998690843582153,0.9013850688934326
Is mother's own milk recommended for preterm infants?,"Yes, according to the evidence summarized in the context, mother's own milk is recommended for feeding preterm infants, including those with very preterm (< 32 weeks' gestation) or very LBW (< 1.5 kg) infants.","Yes, mother's own milk is strongly recommended for feeding preterm or low-birth-weight infants, including very preterm or very low-birth-weight babies, due to its benefits for health and development.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8900207877159119,0.9157608151435852,0.9027073979377747
What if mother's milk for preterm infants is not available? What should be used?,"If mother's milk for preterm infants is not available, donor human milk could be used instead.","hen mother's own milk is unavailable, donor human milk may be considered for feeding preterm or low-birth-weight infants, especially those who are very preterm or very low-birth-weight.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'Milk-Feeding_HNN']",1,1.0,0.9522947072982788,0.8944847583770752,0.9224848747253418
Should multicomponent fortification of breast milk be used  for  preterm infants?,"Yes, multicomponent fortification of breast milk can be used for preterm infants if the benefits outweigh the potential harms.","Multicomponent fortification of human milk is not routinely recommended for all preterm infants, but it may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.9121993780136108,0.8992356061935425,0.9056711196899414
 What is the recommendation for starting feeding in preterm infants?,"Based on the information provided, the recommendation for starting feeding in preterm infants is:

""Preterm and low-birth-weight (LBW) infants, including very preterm (< 32 weeks' gestation) and very LBW (< 1.5 kg) infants, should be fed as early as possible from the first day after birth. Infants who are able to breastfeed should be put to the breast as soon as possible after birth. Infants who are unable to breastfeed should be given expressed mother's own milk as soon as it becomes available.""

This recommendation aligns with the strong recommendation for initiating feeding as early as possible from the first day after birth for preterm and low-birth-weight infants.","Feeding should begin as early as possible from the first day after birth. If the infant cannot breastfeed, expressed mother's milk or donor milk should be given as soon as it is available.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8463756442070007,0.914523184299469,0.8791307210922241
Can preterm infants be given preterm formula?,"Yes, preterm infants can indeed be given preterm formula.","If mother's own milk and donor human milk are not available, nutrient-enriched preterm formula may be considered for very preterm or very low-birth-weight infants.",low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.9129470586776733,0.8601062297821045,0.885739266872406
Should exclusive breastfeeding be continued for preterm infants?,"Yes, according to the guidelines and reviews mentioned, exclusive breastfeeding should continue for preterm infants. Is there anything else you'd like to know about exclusive breastfeeding for preterm infants?","Yes, exclusive breastfeeding is recommended for preterm or low-birth-weight infants until six months of age.",low-birth-weight-infant_HNN,"['breastfeeding_HNN', 'breast_feeding_HNN', 'breast_feeding_HNN']",0,0.0,0.8697363138198853,0.891449511051178,0.8804590106010437
Is iron supplementation necessary for preterm infants?,"Yes, iron supplementation is necessary for preterm infants.",Enteral iron supplementation is recommended for human milk-fed preterm or low-birth-weight infants who are not receiving iron from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.9468985795974731,0.8675331473350525,0.905480146408081
Is vitamin D supplementation  necessary for preterm infants?,"Yes, vitamin D supplementation is essential for preterm infants. It helps in increasing intestinal absorption of calcium and phosphorus, enhancing bone mineralization, and improving bone density.",Enteral vitamin D supplementation may be considered for human milk-fed preterm or low-birth-weight infants not receiving it from another source.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8751925826072693,0.870215892791748,0.872697114944458
Can zinc be supplemented to preterm infants?,"Yes, zinc supplementation can be beneficial for preterm infants. However, there is limited evidence available regarding its efficacy and safety.",Zinc supplementation may be considered for preterm or low-birth-weight infants if not provided from other sources.,low-birth-weight-infant_HNN,"['low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN', 'low-birth-weight-infant_HNN']",1,1.0,0.8920481204986572,0.8848751783370972,0.8884471654891968
